time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3102,1255,98,4,991,2760272,2297,3702,0,False
4987,1255,98,4,991,2243080,1885,4817,0,False
8088,1255,98,4,991,3768472,3100,4716,0,False
10269,1255,98,4,991,2614184,2181,5535,0,False
12387,1255,98,4,991,2535760,2118,6416,0,False
15000,1255,98,4,991,3162196,2613,0,0,False
15646,1255,98,0,230,687488,645,3000,645,False
17994,1255,98,3,688,2823608,2347,3652,0,False
20007,1255,98,4,991,2403848,2013,4638,0,False
22412,1255,98,4,991,2894792,2404,5234,0,False
25031,1255,98,4,991,3164568,2619,5614,0,False
27490,1255,98,4,991,2963000,2458,6155,0,False
29843,1255,98,4,991,2829328,2352,6803,0,False
30847,3775,202,4,991,3132408,1004,8798,0,False
31840,3775,202,4,991,2984888,992,10806,0,False
33558,3775,202,6,2056,5726000,1718,12087,0,True
35243,3775,202,6,2056,5595624,1684,13403,0,True
37284,3775,202,6,2056,6942520,2041,14362,0,True
39473,3775,202,7,2962,7500528,2188,15173,0,True
40000,3775,202,7,2962,1861206,527,15000,0,True
43134,3775,202,7,2962,11069064,3134,14865,0,True
45736,3775,202,7,2962,9059696,2601,15263,0,True
47847,3775,202,7,2962,7206624,2111,16152,0,True
52167,3775,202,8,5027,15545648,4320,14832,0,True
56308,3775,202,8,5027,14868392,4140,13692,0,True
58013,2354,63,8,5027,4607089,1705,11986,0,True
60777,2354,63,6,2056,6358360,2764,12222,0,True
61295,2354,63,8,5027,1071300,518,11704,0,True
63189,2354,63,5,1427,4309920,1893,12810,0,True
63707,2354,63,8,5027,1071300,518,12292,0,True
65403,2354,63,5,1427,3843736,1695,13596,0,True
69366,2354,63,8,5027,9180960,3963,12633,0,True
71114,2354,63,5,1427,3964992,1747,13886,0,True
73244,2354,63,5,1427,4865984,2130,14756,0,True
74932,2354,63,5,1427,3827056,1688,16067,0,True
