time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
1207,1255,98,0,230,382840,403,5596,0,False
3952,1255,98,5,1427,3321576,2744,5852,0,False
8503,1255,98,5,1427,5587928,4550,4301,0,False
9310,1255,98,5,1427,890500,807,3494,0,False
10293,1255,98,2,477,1110960,983,5510,0,False
13307,1255,98,5,1427,3659008,3013,5497,0,False
15000,1255,98,5,1427,2073876,1693,0,0,False
15646,1255,98,0,230,687488,645,3000,645,False
16581,1255,98,0,230,1050328,934,5065,0,False
19353,1255,98,5,1427,3356280,2772,5292,0,False
22749,1255,98,5,1427,4138696,3395,4896,0,False
24706,1255,98,5,1427,2333750,1957,2939,0,False
25357,1255,98,0,230,693544,650,5288,0,False
27978,3775,202,5,1427,4124704,2620,5668,0,False
29314,3775,202,5,1427,4282760,1336,7331,0,False
31296,3775,202,6,2056,6720088,1982,8349,0,False
33181,3775,202,6,2056,6351744,1884,9464,0,False
35775,3775,202,7,2962,9030832,2594,9870,0,False
38030,3775,202,7,2962,7749272,2254,10615,0,False
40000,3775,202,7,2962,6926285,1970,9000,0,False
42943,3775,202,7,2962,10346728,2942,9057,0,False
45132,3775,202,7,2962,7500528,2188,9868,0,False
48266,3775,202,7,2962,11069064,3134,9734,0,False
52460,3775,202,8,5027,15070472,4194,8539,0,False
56960,2354,63,8,5027,15748616,4500,7039,0,False
60313,2354,63,7,2962,7744672,3353,6686,0,False
61278,2354,63,3,688,2122824,964,8721,0,False
61346,2354,63,6,2056,12000,68,8653,0,False
63274,2354,63,5,1427,4390048,1927,9725,0,False
65168,2354,63,5,1427,4309920,1893,10831,0,False
66864,2354,63,5,1427,3843736,1695,12136,0,False
69665,2354,63,6,2056,6446168,2801,12334,0,False
71413,2354,63,5,1427,3964992,1747,13587,0,False
73543,2354,63,5,1427,4865984,2130,14457,0,False
75232,2354,63,5,1427,3827056,1688,15768,0,False
