time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3101,1255,98,4,991,2760272,2297,3702,0,False
4986,1255,98,4,991,2243080,1885,4817,0,False
8087,1255,98,4,991,3768472,3100,4716,0,False
10268,1255,98,4,991,2614184,2181,5535,0,False
12387,1255,98,4,991,2535760,2118,6416,0,False
15131,1255,98,4,991,3320728,2743,6672,0,False
18348,1255,98,4,991,3914304,3216,6455,0,False
20361,1255,98,4,991,2403848,2013,7442,0,False
22766,1255,98,4,991,2894792,2404,8037,0,False
25385,1255,98,4,991,3164568,2619,8418,0,False
27844,1255,98,4,991,2963000,2458,8959,0,False
30065,3775,202,4,991,2829328,2220,9738,0,False
30432,3775,202,0,230,623576,367,3000,367,False
31384,3775,202,4,991,2830112,951,5048,0,False
32538,3775,202,4,991,3594504,1154,6894,0,False
33496,3775,202,4,991,2854856,958,8935,0,False
34779,3775,202,5,1427,4080792,1283,10652,0,False
36071,3775,202,5,1427,4112976,1291,12361,0,False
37425,3775,202,5,1427,4348344,1353,14007,0,False
38710,3775,202,5,1427,4087352,1284,15722,0,False
40775,3775,202,6,2056,7033976,2065,16657,0,False
42315,3775,202,6,2056,5051232,1540,18117,0,False
44336,3775,202,6,2056,6866160,2020,19096,0,False
46139,3775,202,6,2056,6046416,1803,20292,0,False
47774,3775,202,6,2056,5407112,1634,21658,0,False
49820,3775,202,6,2056,6960632,2045,22612,0,False
52224,3775,202,6,2056,6001832,1791,23208,0,False
55120,3775,202,6,2056,5608872,1687,23312,0,False
58218,3775,202,6,2056,5977888,1785,23214,0,False
62438,2354,63,6,2056,7117856,3005,21994,0,False
65127,2354,63,6,2056,6181608,2689,22305,0,False
67480,2354,63,6,2056,4671576,2047,22952,0,False
71598,2354,63,6,2056,7304528,3166,21833,0,False
74030,2354,63,6,2056,5574976,2431,22402,0,False
77553,2354,63,6,2056,7198488,3120,21879,0,False
