time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3102,1255,98,4,991,2760272,2297,3702,0,False
4987,1255,98,4,991,2243080,1885,4817,0,False
8088,1255,98,4,991,3768472,3100,4716,0,False
10269,1255,98,4,991,2614184,2181,5535,0,False
12387,1255,98,4,991,2535760,2118,6416,0,False
15000,1255,98,4,991,3162196,2613,0,0,False
15646,1255,98,0,230,687488,645,3000,645,False
17994,1255,98,3,688,2823608,2347,3652,0,False
20007,1255,98,4,991,2403848,2013,4638,0,False
22412,1255,98,4,991,2894792,2404,5234,0,False
25031,1255,98,4,991,3164568,2619,5614,0,False
27490,1255,98,4,991,2963000,2458,6155,0,False
29843,1255,98,4,991,2829328,2352,6803,0,False
30847,3775,202,4,991,3132408,1004,8798,0,False
31840,3775,202,4,991,2984888,992,10806,0,False
32720,3775,202,4,991,2559632,880,12926,0,False
34015,3775,202,5,1427,4128760,1295,14630,0,False
35427,3775,202,5,1427,4568048,1412,16218,0,False
36588,3775,202,5,1427,3618624,1160,18057,0,False
38132,3775,202,5,1427,5065168,1543,19514,0,False
40000,3775,202,6,2056,6309157,1868,18000,0,False
41918,3775,202,6,2056,6479152,1918,19081,0,False
43483,3775,202,6,2056,5142544,1564,20517,0,False
45104,3775,202,6,2056,5356896,1621,21896,0,False
47083,3775,202,6,2056,6709528,1979,22917,0,False
49886,3775,202,6,2056,6358360,1886,23113,0,False
52866,3775,202,6,2056,6282648,1866,23133,0,False
55610,3775,202,6,2056,5316344,1610,23389,0,False
58910,3775,202,6,2056,6446168,1909,23090,0,False
62571,2354,63,6,2056,5904856,2571,22428,0,False
66055,2354,63,6,2056,7043424,3055,21944,0,False
68472,2354,63,6,2056,5542176,2417,22527,0,False
71627,2354,63,6,2056,6035928,2627,22372,0,False
74408,2354,63,6,2056,5521280,2408,22591,0,False
78279,2354,63,6,2056,7571168,3279,21720,0,False
